"id","deviceid","currentspl","sampletime"
97,"3a0027001647343339383037",62,"2018-04-27 16:24:01-05"
98,"3a0027001647343339383037",62,"2018-04-27 16:24:11-05"
99,"3a0027001647343339383037",61,"2018-04-27 16:24:21-05"
100,"3a0027001647343339383037",61,"2018-04-27 16:24:31-05"
101,"3a0027001647343339383037",63,"2018-04-27 16:24:41-05"
102,"3a0027001647343339383037",63,"2018-04-27 16:24:51-05"
103,"3a0027001647343339383037",62,"2018-04-27 16:25:01-05"
104,"3a0027001647343339383037",60,"2018-04-27 16:25:11-05"
105,"3a0027001647343339383037",62,"2018-04-27 16:25:21-05"
106,"3a0027001647343339383037",63,"2018-04-27 16:25:30-05"
107,"3a0027001647343339383037",61,"2018-04-27 16:25:40-05"
108,"3a0027001647343339383037",60,"2018-04-27 16:25:51-05"
109,"3a0027001647343339383037",62,"2018-04-27 16:26:01-05"
110,"3a0027001647343339383037",63,"2018-04-27 16:26:10-05"
